user_id,item_id,rating
103,436,5
271,107,5
21,103,2
467,215,3
459,88,5
100,360,3
662,309,2
344,492,2
192,444,5
161,460,2
22,253,4
857,49,3
59,170,4
700,464,3
876,55,4
832,131,5
819,135,5
841,167,2
388,89,4
14,242,2
777,346,5
898,340,4
367,444,4
509,264,3
206,81,4
562,360,4
2,390,2
772,310,5
703,402,2
556,162,2
958,484,4
702,296,5
720,237,2
879,53,2
217,252,4
380,493,1
157,15,5
65,345,1
344,129,4
648,472,3
499,81,3
419,289,3
773,490,2
41,28,1
840,268,2
33,48,5
99,172,3
547,449,3
613,431,3
769,5,2
393,207,2
554,380,5
691,63,1
564,96,4
734,485,5
655,171,5
36,13,3
578,170,5
646,284,4
620,44,4
798,446,3
640,348,1
231,190,1
385,377,3
958,121,4
973,233,3
359,198,3
649,318,5
225,307,2
684,152,3
374,160,1
692,113,1
442,52,4
510,295,2
387,113,5
625,440,1
699,113,2
642,220,5
736,225,1
403,126,2
53,172,2
672,198,4
439,203,3
401,255,5
884,98,3
511,240,1
201,124,3
326,464,5
771,148,4
955,420,3
346,451,3
148,352,4
489,417,2
872,129,3
988,441,1
946,151,2
611,263,4
572,369,2
897,304,4
453,37,3
659,304,3
404,152,1
920,116,3
625,456,4
422,104,4
254,227,1
99,153,5
914,384,2
706,310,3
720,445,1
996,161,4
801,398,5
816,404,3
401,128,1
688,460,3
883,470,5
563,438,3
27,226,5
798,97,4
879,448,1
453,317,3
516,35,1
512,17,4
220,158,5
46,373,3
892,233,5
280,349,1
302,181,3
700,481,4
191,253,5
928,471,1
256,323,2
793,490,2
323,360,2
288,431,2
639,155,2
386,474,1
104,417,1
811,246,5
682,247,2
867,306,1
408,13,4
506,391,1
36,173,4
321,264,4
883,471,4
354,322,3
665,186,5
150,314,2
342,305,4
682,326,3
444,101,1
264,53,4
620,5,4
774,365,4
350,47,3
823,424,4
656,269,2
636,106,3
657,120,3
604,58,2
741,474,5
830,279,1
908,129,2
634,1,2
96,126,1
488,237,5
897,272,5
999,192,5
790,349,3
76,154,3
997,86,1
285,462,4
69,47,1
94,238,4
453,204,2
474,432,5
551,100,1
254,222,5
23,250,2
758,325,4
802,180,2
762,147,2
608,257,5
516,16,2
497,476,3
852,152,4
690,163,4
545,417,5
691,427,5
268,323,1
417,168,2
43,44,5
397,12,2
253,499,2
35,215,1
90,264,5
922,458,2
418,115,1
903,196,2
501,114,5
75,413,4
729,277,5
761,164,2
869,457,3
689,99,4
978,497,5
780,369,5
279,217,3
873,286,1
881,62,4
880,217,5
699,19,1
612,396,5
233,403,4
265,455,4
718,223,4
851,367,5
25,436,3
469,484,5
151,144,1
39,109,5
42,186,2
133,163,5
235,331,2
751,76,1
74,442,4
913,253,5
168,170,1
946,283,2
194,5,5
165,422,3
648,496,5
833,342,4
657,327,1
301,132,4
70,252,3
445,364,3
714,346,3
39,126,3
173,141,2
220,126,2
660,476,5
895,361,1
387,461,4
190,191,4
369,409,1
934,117,2
556,173,5
829,303,5
80,374,5
203,252,5
676,227,3
532,441,2
47,233,1
526,143,1
373,54,3
656,471,1
971,12,2
736,272,4
408,156,5
676,90,2
316,178,4
732,357,1
740,192,3
502,447,1
201,417,5
724,461,4
752,413,5
558,35,5
390,82,3
256,197,1
450,10,2
251,365,5
119,289,1
146,224,1
779,341,2
63,217,3
795,177,5
929,98,1
99,385,5
823,6,4
977,197,5
870,259,5
23,485,5
677,202,2
83,145,5
78,457,1
51,173,5
772,446,1
881,488,2
348,95,2
250,162,3
891,306,4
961,54,4
389,478,3
825,401,5
853,398,2
75,435,4
738,294,2
98,338,3
435,447,2
308,249,1
984,335,4
542,247,2
563,81,5
797,388,2
184,401,2
